Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
5,ChatGPT,472,18,490,Conversation log
45,ChatGPT,1087,230,1317,Conversation log
118,GPT-4,417,276,693,Conversation log
185,ChatGPT,1360,647,2007,Conversation log
214,ChatGPT,185,215,400,Conversation log
233,GPT-4,586,293,879,Conversation log
261,ChatGPT,37,1656,1693,Conversation log
267,ChatGPT,54,503,557,Conversation log
410,ChatGPT,1528,414,1942,Conversation log
535,ChatGPT,89,370,459,Conversation log
560,GPT-4,549,362,911,Conversation log
638,ChatGPT,172,69,241,Conversation log
686,GPT-4,969,206,1175,Conversation log
741,ChatGPT,97,137,234,Conversation log
771,GPT-4,1574,501,2075,Conversation log
821,ChatGPT,253,239,492,Conversation log
966,ChatGPT,23,344,367,Conversation log
974,ChatGPT,509,207,716,Conversation log
1028,ChatGPT,387,349,736,Conversation log
1072,ChatGPT,733,180,913,Conversation log
1106,ChatGPT,0,0,0,Conversation log
1129,ChatGPT,1305,477,1782,Conversation log
1278,ChatGPT,17,382,399,Conversation log
1449,ChatGPT,601,557,1158,Conversation log
1611,GPT-4,1327,239,1566,Conversation log
1780,ChatGPT,1437,181,1618,Conversation log
2069,ChatGPT,1336,245,1581,Conversation log
2173,ChatGPT,19,440,459,Conversation log
2273,GPT-4,92,95,187,Conversation log
2293,ChatGPT,507,448,955,Conversation log
2579,ChatGPT,938,263,1201,Conversation log
2584,ChatGPT,1544,608,2152,Conversation log
2608,GPT-4,1840,378,2218,Conversation log
2684,ChatGPT,991,462,1453,Conversation log
2826,ChatGPT,1109,329,1438,Conversation log
3009,ChatGPT,1476,443,1919,Conversation log
3091,ChatGPT,14,11,25,Conversation log
3232,GPT-4,1741,428,2169,Conversation log
4525,GPT-4,0,0,0,Conversation log
4574,ChatGPT,1306,267,1573,Conversation log
4608,GPT-4,0,0,0,Conversation log
4725,GPT-4,0,0,0,Conversation log
4798,GPT-4,614,323,937,Conversation log
5812,ChatGPT,1960,136,2096,Conversation log
6049,ChatGPT,1698,627,2325,Conversation log
6263,ChatGPT,1907,616,2523,Conversation log
6499,ChatGPT,137,225,362,Conversation log
6882,GPT-4,20,86,106,Conversation log
6998,GPT-4,127,268,395,Conversation log
7442,GPT-4,665,167,832,Conversation log
7982,GPT-4,855,297,1152,Conversation log
8052,GPT-4,1191,30,1221,Conversation log
8126,GPT-4,18,67,85,Conversation log
8208,GPT-4,101,148,249,Conversation log
8211,ChatGPT,112,336,448,Conversation log
8258,GPT-4,264,76,340,Conversation log
8681,ChatGPT,82,343,425,Conversation log
8782,ChatGPT,506,343,849,Conversation log
8989,ChatGPT,530,339,869,Conversation log
9015,ChatGPT,942,396,1338,Conversation log
9418,ChatGPT,1364,416,1780,Conversation log
10205,ChatGPT,122,496,618,Conversation log
10414,ChatGPT,24,63,87,Conversation log
10443,ChatGPT,698,258,956,Conversation log
10577,ChatGPT,103,76,179,Conversation log
10600,ChatGPT,1073,129,1202,Conversation log
10603,ChatGPT,200,95,295,Conversation log
10636,ChatGPT,1282,188,1470,Conversation log
10669,ChatGPT,1762,418,2180,Conversation log
10740,ChatGPT,1625,268,1893,Conversation log
10760,ChatGPT,25,326,351,Conversation log
10760,ChatGPT,1639,188,1827,Conversation log
10812,ChatGPT,42,197,239,Conversation log
10825,ChatGPT,1637,231,1868,Conversation log
10949,ChatGPT,1701,381,2082,Conversation log
10995,ChatGPT,383,319,702,Conversation log
11096,ChatGPT,266,246,512,Conversation log
11411,ChatGPT,1450,497,1947,Conversation log
11517,ChatGPT,1631,422,2053,Conversation log
11539,ChatGPT,540,285,825,Conversation log
11642,ChatGPT,1797,577,2374,Conversation log
11738,ChatGPT,0,0,0,Conversation log
11817,ChatGPT,20,310,330,Conversation log
11853,ChatGPT,352,298,650,Conversation log
12560,ChatGPT,726,334,1060,Conversation log
14618,ChatGPT,870,269,1139,Conversation log
19020,ChatGPT,66,342,408,Conversation log
19108,ChatGPT,478,296,774,Conversation log
19499,ChatGPT,837,292,1129,Conversation log
19601,ChatGPT,1152,237,1389,Conversation log
20288,ChatGPT,42,17,59,Conversation log
26939,ChatGPT,29,69,98,Conversation log
27037,ChatGPT,136,74,210,Conversation log
27162,ChatGPT,229,69,298,Conversation log
27307,ChatGPT,326,66,392,Conversation log
27894,ChatGPT,408,322,730,Conversation log
27948,ChatGPT,667,79,746,Conversation log
28389,ChatGPT,657,192,849,Conversation log
28436,ChatGPT,788,292,1080,Conversation log
28571,ChatGPT,1035,227,1262,Conversation log
28765,GPT-4,930,83,1013,API log
28829,GPT-4,929,80,1009,API log
29450,ChatGPT,36,14,50,Conversation log
29549,ChatGPT,103,23,126,Conversation log
29568,ChatGPT,209,242,451,Conversation log
29648,ChatGPT,505,166,671,Conversation log
29822,ChatGPT,166,34,200,Conversation log
29832,ChatGPT,19,326,345,Conversation log
29848,ChatGPT,239,30,269,Conversation log
29870,ChatGPT,357,559,916,Conversation log
29907,ChatGPT,320,28,348,Conversation log
29987,ChatGPT,333,35,368,Conversation log
29992,ChatGPT,342,11,353,Conversation log
30024,ChatGPT,353,62,415,Conversation log
30096,ChatGPT,26,205,231,Conversation log
30324,ChatGPT,950,67,1017,Conversation log
30342,ChatGPT,249,229,478,Conversation log
30348,ChatGPT,926,73,999,Conversation log
30368,ChatGPT,495,270,765,Conversation log
30371,ChatGPT,807,73,880,Conversation log
30393,ChatGPT,587,96,683,Conversation log
30402,ChatGPT,0,0,0,Conversation log
30414,ChatGPT,0,0,0,Conversation log
30418,ChatGPT,0,0,0,Conversation log
30422,ChatGPT,1539,82,1621,Conversation log
30424,ChatGPT,428,194,622,Conversation log
30476,ChatGPT,434,1018,1452,Conversation log
30528,ChatGPT,561,79,640,Conversation log
30601,ChatGPT,565,90,655,Conversation log
30612,ChatGPT,31,144,175,Conversation log
30649,ChatGPT,21,16,37,Conversation log
30654,ChatGPT,578,300,878,Conversation log
30677,ChatGPT,68,232,300,Conversation log
30795,ChatGPT,14,423,437,Conversation log
30852,ChatGPT,839,465,1304,Conversation log
30878,ChatGPT,447,381,828,Conversation log
30899,ChatGPT,838,436,1274,Conversation log
31163,ChatGPT,1107,288,1395,Conversation log
31244,ChatGPT,1306,245,1551,Conversation log
31293,ChatGPT,1458,366,1824,Conversation log
31390,ChatGPT,1524,427,1951,Conversation log
31458,ChatGPT,1435,462,1897,Conversation log
31790,ChatGPT,1618,161,1779,Conversation log
31810,ChatGPT,1536,208,1744,Conversation log
31826,ChatGPT,1385,150,1535,Conversation log
31841,ChatGPT,1113,197,1310,Conversation log
31906,ChatGPT,109,1413,1522,Conversation log
31985,ChatGPT,45,972,1017,Conversation log
31994,ChatGPT,36,307,343,Conversation log
32004,GPT-4,380,210,590,Conversation log
32034,ChatGPT,28,62,90,Conversation log
32119,ChatGPT,42,954,996,Conversation log
32185,ChatGPT,246,130,376,Conversation log
32247,ChatGPT,395,787,1182,Conversation log
32311,ChatGPT,1254,312,1566,Conversation log
32387,ChatGPT,840,246,1086,Conversation log
32488,ChatGPT,1169,845,2014,Conversation log
32561,ChatGPT,1304,343,1647,Conversation log
32582,ChatGPT,19,56,75,Conversation log
32599,ChatGPT,92,252,344,Conversation log
32601,ChatGPT,69,381,450,Conversation log
32625,ChatGPT,10,318,328,Conversation log
32656,ChatGPT,531,40,571,Conversation log
32663,ChatGPT,23,426,449,Conversation log
32674,ChatGPT,49,11,60,Conversation log
32678,ChatGPT,40,541,581,Conversation log
32680,GPT-4,99,470,569,Conversation log
32698,ChatGPT,134,55,189,Conversation log
